Nombre del proyecto,Tipo de aplicación,Descripción,Categoría,Año del proyecto,Licencia,URL,URL Código,Organización,E-mail de contacto,Características,Versión,Fecha,URL Video,URL Documentación
YO CUIDO  LO PÚBLICO,Software Público,"“Yo Cuido lo Público”, como una herramienta de reporte y consulta de posibles obras públicas que tienen un impacto negativo para la comunidad debido a que han sido abandonadas o están inconclusas, que no son utilizadas, o cuyo uso es diferente para aquel que fueron creadas. 

Esta herramienta no es un canal de DENUNCIA, por lo que si el usuario de la misma requiere que se inicie una investigación disciplinaria, fiscal o penal, o allegar más información sobre la obra reportada, deberá adelantar el trámite ante los organismos de control competentes. 

La prestación de esta aplicación es libre por tanto, no se asume responsabilidad de la información reportada por los usuarios de la aplicación en relación a responsables de obras públicas o características de la misma, la función principal de la aplicación es capturar la percepción de los usuarios/ciudadanos de aquello que puede constituirse dentro del objeto de uso. 

La aplicación es libre por tanto se reserva el derecho de modificar, complementar o suspender total o parcialmente la aplicación móvil y el contenido que se genere por el uso de la aplicación. 

La aplicación es libre por tanto se reserva el derecho de cambiar los Términos y Condiciones de Uso de la aplicación móvil en cualquier momento, con vigencia inmediata a partir del momento que se actualiza la aplicación móvil. 

Se considerará que los Ciudadanos-Usuarios han leído y aceptado los Términos y Condiciones de Uso para usar, acceder, descargar, instalar, obtener o brindar información hacia la aplicación móvil. 

En caso de que un Ciudadano - Usuario envíe imágenes digitales u otro contenido, tales como fotografías, ilustraciones, gráficos y texto a través de la aplicación móvil, se deberá tener en cuenta lo siguiente: 

Por el presente el Ciudadano - Usuario cede, los derechos patrimoniales de autor con exclusividad, y a perpetuidad para (a) reproducir, distribuir, transmitir, representar y exhibir públicamente las fotografías, ilustraciones, gráficos y texto, total o parcialmente, de cualquier manera y en cualquier medio para transmitir información, existente en la actualidad o que se cree en el futuro, (b) modificar, adaptar, traducir y crear trabajos derivados de las fotografías, ilustraciones, gráficos y texto, total o parcialmente, de conformidad a la ley 23 de 1982, y las demás que la modifican. 

El Ciudadano – Usuario se obliga a no introducir en la aplicación móvil, información de carácter ofensivo o agraviante o que contenga amenazas, u otros programas perjudiciales o mecanismo para captar o distorsionar información contenida en la aplicación móvil. 

El Ciudadano – Usuario declara que es consciente de que el contenido insertado en las aplicaciones móviles es de exclusiva responsabilidad del Ciudadano – Usuario que lo pública. Asimismo, entiende y acepta que los facilitadores de la aplicación, no se hacen responsables por el contenido publicado o compartido a través de la aplicación móvil.",Organismos de Control,2017,GNU Lesser General Public License (LGPL) 3.0,http://www.softwarepublicocolombia.gov.co,http://gitlab.geovisor.com.co/groups/yocuidolopublico,Ministerio de Tecnologías de la Información y Comunicaciones,lmedina@mintic.gov.co,"Prevalece la información de los entes de control y autoridades judiciales. La información sobre “Yo Cuido lo Público”” contenida en esta herramienta es proporcionada por los usuarios/ciudadanos de acuerdo con su percepción, en este sentido la tipificación de delitos en torno a una obra y las sanciones derivadas de los mismos, no serán responsabilidad del facilitador de la aplicación, dado que solo se podrá definir la existencia de delito y la aplicación de sanciones a los posibles responsables, una vez las autoridades competentes hayan adelantado investigación sobre la irregularidad reportada, la cual podrá ser denunciada por el usuario/ciudadano ante los organismos de control. 

Cambios en la información reportada: La información proporcionada por la aplicación tiene su origen en otros usuarios de la misma. Esta información es intrínsecamente fluctuante y puede ser inexacta, incompleta o desactualizada. El facilitador de la aplicación, no proporciona ninguna garantía de credibilidad o fiabilidad de dicha información; no obstante se reserva el derecho de modificar aquella información que sea considerada ofensiva o violatoria de la intimidad de una persona, que atente contra los mandatos de privacidad de información de acuerdo con las normas vigentes, o que no haga referencia a la información reportada. 

Servicios basados en la localización: Algunas características del servicio utilizan GPS y la tecnología Wi - Fi con el fin de determinar su posición, estas funciones no se pueden proporcionar sin la utilización de esta tecnología. Para el adecuado uso de la aplicación, el usuario debe permitir a la herramienta la identificación de su localización geográfica. 

La conexión a Internet es bajo responsabilidad y por cuenta del usuario de la aplicación. Transmitir y recibir actualizaciones en tiempo real desde y hacia la aplicación, requieren una conexión a Internet (Wi – Fi, 3G o 4G) en el dispositivo móvil. Los gastos de este tipo de conexión son las prescritas por el acuerdo entre el usuario de la aplicación y el proveedor de servicios de comunicación (empresa de telefonía celular), y de acuerdo a los términos aplicables de pago.",1.0,10/20/2017 12:00:00 AM,,
Portal de Software Público Colombia,Software Público,"Publica, comparte, mejora y reutiliza software público, es decir, aplicaciones desarrolladas con recursos del estado, cuyas licencias son de código abierto y resuelven problemas o necesidades comunes de la administración pública y la ciudadanía, permitiendo racionalizar la inversión y aprovechar los desarrollos existentes a través de su reutilización.","Ciencia, Tecnología e Innovación",2017,GNU Lesser General Public License (LGPL) 3.0,http://www.softwarepublicocolombia.gov.co,https://github.com/softwarepublicomintic/Software-P-blico,Ministerio De Tecnologías de la Información y Comunicaciones,softwarepublicocolombia@mintic.gov.co,http://www.softwarepublicocolombia.gov.co/es/terms-and-conditions-es,V.1,10/25/2017 12:00:00 AM,https://youtu.be/IiKYmovnwCU,http://www.softwarepublicocolombia.gov.co/es/content/aprende-sobre-software-p%C3%BAblico
Indice de Progreso Social TEST,Software Público,pruebas pruebas repruebas,Ambiente y Desarrollo Sostenible,2018,Apache License 2.0,http://www.123.com,http://www.git123.com,,,pruebas pruenas rpprrprp,,12/26/2017 12:00:00 AM,,
tester,Civic Software,Esta herramienta ayuda a determinar cuándo se vencen los derechos patrimoniales de autor y la obra puede usarse y difundirse sin necesidad de autorización previa.,Culture,2012,GNU General Public License (GPL) 3.0,http://a.nomono.co/dominiopublico,,Fundación Conector,david@conector.co,"¿Quiere saber cuándo una obra colombiana entra en dominio público? Con esta herramienta y contestando algunas preguntas podrá saber en qué fecha entrará, entró o qué requisito se necesita para usar una obra sin necesidad de solicitar los permisos de derecho de autor.  Array Array",1.0,2017-03-06T00:00:00.000,,
Municipios Visibles,Software Público,"Herramienta tecnologica 100% Web que permite a las alcaldias y entidades de Colombia hacer seguimiento en tiempo real a la ejecucion de contratos y obras, Asi como obtener reportes y estadisticas. Licencia libre de uso de la plataforma","Ciencia, Tecnología e Innovación",2017,,http://www.municipiosvisibles.com,https://goo.gl/gQ2rpN,INTERKONT,alejandro.gutierrez@interkont.co,"* Creacion facil de proyectos
* Monitoreo de proyectos
* Monitoreo de contratos.
* Monitoreo de Convenios
* Participacion Ciudadana",3.0,08/20/2017 12:00:00 AM,https://www.youtube.com/watch?v=MHhahywWlzM,https://goo.gl/DCpTcM
Mas familias en acción,Software Público,"Es una herramienta que le permitirá acercarse a la entidad Departamento para la Prosperidad Social, obteniendo información sobre la misma, interactuando con mediante los canales de comunicación establecidos y vinculándose como parte activa de los programas que la entidad desarrolla y que están dirigidos al ciudadano.",Justicia y Derecho,2014,,http://www.softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://www.softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"Permite la utilización de teléfonos celulares de gama baja, media; permitiendo una comunicación de doble vía y que informe, alerte y facilite a las madres realizar el seguimiento a los compromisos en cuanto a salud, crecimiento, desarrollo y nutrición para los niños,niñas inscritas en el programa Más Familias en Acción, de una manera efectiva y pro activa y garantizando el pago de los subsidios y reduciendo los costos de transacción asociados a ellos.",1.0,2014-04-05T00:00:00.000,,
Más Corazón,Software Público,"La aplicación  permite que los padres y profesores accedan al diagnóstico de niños y niñas menores de 9 años y sus familias por medio  de recomendaciones sin necesidad de ir a un especialista por medio de un cruce información biométrica (peso, talla, presión arterial, colesterol, glicemia) con hábitos de alimentación, actividad física, historia familiar de enfermedad cardiovascular, tabaquismo y alcoholismo para calcular una calificación de riesgo cardiovascular que guie a la familia a través de tips y direccionamiento a médicos para corregir malos hábitos.",Salud,2014,,http://www.softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://www.softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"Algunos módulos: Aprende: Este módulo está diseñado por tres secciones: Actividad Física, Autocuidado, Nutrición las cuales al ser seleccionadas abren un popad con un tips respectivo a cada sección, además estos  tips que se muestran están programados para que salgan aleatoriamente. Compárate: Este módulo muestra una estadística  por porcentaje de personas propensas a sufrir enfermedades cardiovasculares según los usuarios registrados en la aplicación + Corazón. Compárate: Este módulo muestra una estadística por porcentaje de personas propensas  a sufrir enfermedades cardiovasculares según los usuarios registrados en la aplicación + Corazón. Diviértete: En este módulo se  diseñó un juego, el cual consiste en seleccionar cualquiera de  las dos opciones: Actividad Física y Nutrición, y estando en cada una de ellas se debe elegir  en la parte superior  una imagen y arrastrarla hasta donde está la muñeca para que esta forma se califique cada una de estas actividades mostrando  se por medio de la barra de vida.",1.0,12/23/2014 12:00:00 AM,,
CONSUL,Software Público,"Consul es la única herramienta que permite llevar a cabo todos los tipos de procesos participativos que se desarrollan actualmente desde las instituciones de todo el mundo: propuestas ciudadanas, debates, presupuestos participativos, legislación colaborativa, entrevistas ciudadanas, encuestas, votaciones, con la ventaja de que permite, independientemente del tamaño de la institución, adaptarse fácilmente a sus necesidades particulares.",Función pública,2015,,http://consulproject.org/es/index.html#features,https://github.com/consul/consul,Ayuntamiento de Madrid - España,,"1.Debates Cualquier persona puede abrir hilos de discusión sobre cualquier tema, creando espacios independientes donde la gente puede debatir sobre el tema propuesto. Los debates son valorados por todos, para destacar los temás más importantes. 2.Propuestas Un espacio para que cualquiera pueda crear una propuesta ciudadana y recabar apoyos. Las propuestas que alcanzan los suficientes apoyos pasan a votación, para que entre todos decidamos si se deben llevar a cabo o no los temas que nos importan. 3.Presupuestos participativos Los presupuestos participativos permiten que los ciudadanos propongan y decidan de manera directa cómo gastar parte del presupuesto, con un seguimiento y evaluación riguroso de las propuestas por parte de la institución. Máxima efectividad y control de los recursos con la mayor satisfacción para todos. 4.Votaciones Sistema seguro de votación, tanto de propuestas ciudadanas, como de cuestiones propuestas desde la institución. Permite decidir sobre los temas más importantes fácilmente desde el móvil. 5.Legislación colaborativa
Cualquier texto legislativo puede ser compartido con la ciudadanía para recibir comentarios sobre cualquier parte concreta del mismo. Los comentarios se asocian a las partes comentadas utilizando adicionalmente un código de colores, que permite visualizar de manera sencilla las partes mejorables. También permite crear espacios de debate previo asociados al texto, para un mejor desarrollo posterior del mismo.",1.0,2015-07-09T00:00:00.000,,https://github.com/consul/docs
Golombiao,Software Público,"Golombiao® es una estrategia que nace en el año 2003 de una Alianza entre entes gubernamentales y la cooperación internacional que utiliza el fútbol y el deporte para fortalecer las habilidades de niños, niñas, adolescentes y jóvenes y sus comunidades en la construcción de proyectos de vida que aseguren su desarrollo y que estén alejados de la violencia, mediante la promoción de la participación, la convivencia, la resolución pacífica de conflictos y la equidad de género.",Deporte y Recreación,2014,,http://www.softwarepublicocolombia.gov.co/sites/default/files/RESOLUCION%20537%20DE%202018.pdf,http://www.softwarepublicocolombia.gov.co/es/blog/conoce-los-pasos-para-acceder-al-c%C3%B3digo-fuente-de-las-aplicaciones-de-gobierno-resoluci%C3%B3n-537,MINTIC,soporteccc@mintic.gov.co,"Aplicación móvil que permite al usuario aprender las reglas, los participantes y los momentos del juego Golombiao, promover el juego, y conocer los principios del Programa Presidencial Colombia Joven.",1.0,04/15/2014 12:00:00 AM,,
Mesa de ayuda,Software Público,"Es un sistema de soporte de tickets (Mesa de Ayuda) de código abierto ampliamente utilizado. Integra a la perfección las consultas creadas a través de correo electrónico, teléfono y formularios basados en la web en una interfaz web multiusuario simple y fácil de usar. Puede gestionar, organizar y archivar todas sus solicitudes de soporte y respuestas en un solo lugar, mientras proporciona a sus clientes la capacidad y tiempo de respuesta adecuada. Este proyecto utiliza como base el código fuente de OsTicket en su versión 1.10.1 (OpenSource), Cuenta con la totalidad de formularios y plantillas traducidos al español, implementación de nuevas interfaces,  solución de bugs comunes he integración con AD(active directory) y servidor de correo.","Ciencia, Tecnología e Innovación",2018,GNU General Public License (GPL) 2.0,,https://github.com/diegoale1994/OsTIcket---Corpochivor,Corporación Autonoma Regional De Chivor CORPOCHIVOR,diego.fc.1@hotmail.com,"Carga de archivos
Identificadores unicos para cada solicitud
Campos personalizables
Integracion con IMAP POP
Integracion con AD
Texto enriquecido HTML 
Filtro de tickets
Base de conocimientos
Reportes
agentes, usuarios, planes de tratamiento
etc",1.10.1,05/30/2018 12:00:00 AM,,https://github.com/osTicket/docs
