"Name","Position","Age","Team_from","League_from","Team_to","League_to","Season","Market_value","Transfer_fee"
"Luís Figo","Right Winger",27,"FC Barcelona","LaLiga","Real Madrid","LaLiga","2000-2001",NA,60000000
"Hernán Crespo","Centre-Forward",25,"Parma","Serie A","Lazio","Serie A","2000-2001",NA,56810000
"Marc Overmars","Left Winger",27,"Arsenal","Premier League","FC Barcelona","LaLiga","2000-2001",NA,40000000
"Gabriel Batistuta","Centre-Forward",31,"Fiorentina","Serie A","AS Roma","Serie A","2000-2001",NA,36150000
"Nicolas Anelka","Centre-Forward",21,"Real Madrid","LaLiga","Paris SG","Ligue 1","2000-2001",NA,34500000
"Rio Ferdinand","Centre-Back",22,"West Ham","Premier League","Leeds","Premier League","2000-2001",NA,26000000
"Flávio Conceicao","Central Midfield",26,"Dep. La Coruña","LaLiga","Real Madrid","LaLiga","2000-2001",NA,25000000
"Savo Milosevic","Centre-Forward",26,"Real Zaragoza","LaLiga","Parma","Serie A","2000-2001",NA,25000000
"David Trézéguet","Centre-Forward",22,"Monaco","Ligue 1","Juventus","Serie A","2000-2001",NA,23240000
"Claudio López","Centre-Forward",25,"Valencia CF","LaLiga","Lazio","Serie A","2000-2001",NA,23000000
"Jimmy Floyd Hasselbaink","Centre-Forward",28,"Atlético Madrid","LaLiga2","Chelsea","Premier League","2000-2001",NA,22500000
"Gerard López","Central Midfield",21,"Valencia CF","LaLiga","FC Barcelona","LaLiga","2000-2001",NA,21600000
"Lucas","Centre-Forward",21,"Atlético-PR"," Brazil","Stade Rennais","Ligue 1","2000-2001",NA,21300000
"Pablo Aimar","Attacking Midfield",21,"River Plate"," Argentina","Valencia CF","LaLiga","2000-2001",NA,21250000
"Wálter Samuel","Centre-Back",22,"Boca Juniors"," Argentina","AS Roma","Serie A","2000-2001",NA,20800000
"Shabani Nonda","Centre-Forward",23,"Stade Rennais","Ligue 1","Monaco","Ligue 1","2000-2001",NA,20000000
